greek_830_title;The City of Adrianopolis;La ville d'Adrianopolis;Die Stadt von Adrianopolis;Miasto Adrianopolis;La Ciudad de Adrianópolis;La città di Adrianopoli;A City of Adrianopolis;Mesto Adrianopolis;A City of Adrianopolis;De stad Adrianopolis;A Cidade de Adrianópolis;????? ????????????;Kaupunki Adrianopolis;x
postcol_HAI_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_DOM_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_DOM_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_COS_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_COS_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_HON_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_HON_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_ELS_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_ELS_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_PNM_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_PNM_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_GUA_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_GUA_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_UCA_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_UCA_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_ECU_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_ECU_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_MEX_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_MEX_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_BRZ_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_BRZ_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_PEU_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_PEU_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_ARG_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_ARG_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_PRG_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
postcol_PRG_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser la domination;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Udalo nam sie w koncu uzyskac autonomie i wolnosc zaslugujemy od naszego bylego wladce. To jest czas na reorganizacje panowanie;Conseguimos finalmente la autonomía y la libertad que merecemos de nuestro antiguo señor. Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertà che ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podarilo se nám konecne získat autonomii a svobodu, kterou si zasloužíme od našeho bývalého pána. Je na case reorganizovat vládu;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domínio;??? ???????, ???????, ???????? ????????? ? ??????? ?? ??????????? ?? ?????? ??????? ????????. ??????? ?????, ????? ?????????????? ???????????;Onnistuimme vihdoinkin itsenäisyyttä ja vapautta ansaitsemme meidän entinen lääninherra. On aika järjestää uudelleen valta;x
postcol_URU_title;A New Government;Un nouveau gouvernement;Eine neue Regierung;Nowy rzad;Un nuevo gobierno;Un nuovo governo;Egy új kormány;Nová vláda;Egy új kormány;Een nieuwe regering;Um novo governo;????? ?????????????;Uusi hallitus;x
